ticker,action_ticker,direction,entry_date,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_bars,gross_pnl,net_pnl
SPY,SH,-1,2026-03-31,12:55:00,646.280029296875,15:00:00,648.6400146484375,TIME,25,-0.0036516451763642815,-0.0061516451763642815
QQQ,QQQ,1,2026-02-20,12:25:00,604.25,15:00:00,607.5150146484375,TIME,31,0.0054034168778444355,0.0029034168778444354
QQQ,PSQ,-1,2026-03-02,12:00:00,608.2899780273438,15:00:00,609.5,TIME,36,-0.001989218984965518,-0.0044892189849655185
QQQ,PSQ,-1,2026-03-03,11:50:00,600.0599975585938,15:00:00,602.4500122070312,TIME,38,-0.003982959467655771,-0.006482959467655772
QQQ,PSQ,-1,2026-03-27,11:35:00,569.4199829101562,15:00:00,563.219970703125,TIME,41,0.010888294041499234,0.008388294041499234
QQQ,PSQ,-1,2026-03-31,12:45:00,573.8300170898438,15:00:00,575.7700805664062,TIME,27,-0.0033809027391098418,-0.005880902739109841
DIA,DOG,-1,2026-03-31,12:50:00,460.1099853515625,15:00:00,462.3240051269531,TIME,26,-0.004811935941140093,-0.007311935941140093
XLK,XLK,1,2026-03-05,12:30:00,139.57000732421875,12:45:00,138.453447265625,SL,3,-0.00800000000000009,-0.01050000000000009
XLK,XLK,1,2026-03-05,12:50:00,138.36000061035156,15:00:00,138.75999450683594,TIME,26,0.002890964836078853,0.000390964836078853
XLK,XLK,1,2026-03-13,11:40:00,137.1300048828125,15:00:00,137.15499877929688,TIME,40,0.00018226424264867555,-0.0023177357573513245
XLK,XLK,1,2026-03-23,11:55:00,136.97999572753906,15:00:00,137.6199951171875,TIME,37,0.004672210611843151,0.002172210611843151
XLK,XLK,1,2026-04-23,13:45:00,154.50999450683594,15:00:00,155.2100067138672,TIME,15,0.004530530269356003,0.0020305302693560032
XLK,XLK,1,2026-05-04,11:25:00,161.6300048828125,15:00:00,162.11000061035156,TIME,43,0.0029697191922197644,0.00046971919221976436
XLK,XLK,1,2026-05-07,13:30:00,169.25999450683594,15:00:00,169.2899932861328,TIME,18,0.00017723490647793584,-0.0023227650935220643
XLK,XLK,1,2026-05-12,11:25:00,172.4199981689453,15:00:00,173.4199981689453,TIME,43,0.005799791269108775,0.0032997912691087746
XLF,XLF,1,2026-02-26,12:05:00,52.04499816894531,15:00:00,52.45500183105469,TIME,35,0.007877868700820126,0.005377868700820125
XLF,XLF,1,2026-03-06,12:45:00,50.084999084472656,15:00:00,50.494998931884766,TIME,27,0.008186080760840375,0.005686080760840375
XLF,XLF,1,2026-03-11,11:35:00,49.42499923706055,15:00:00,49.525001525878906,TIME,41,0.0020233139172893353,-0.00047668608271066474
XLF,XLF,1,2026-03-25,11:25:00,49.20000076293945,15:00:00,49.36000061035156,TIME,43,0.00325202936851642,0.00075202936851642
XLF,XLF,1,2026-03-27,12:05:00,48.279998779296875,15:00:00,47.96500015258789,TIME,35,-0.006524412482878108,-0.009024412482878108
XLE,XLE,1,2026-03-02,12:25:00,56.404998779296875,15:00:00,56.92499923706055,TIME,31,0.009219049180345608,0.006719049180345608
XLE,XLE,1,2026-03-03,11:50:00,56.625,14:40:00,56.172,SL,34,-0.008000000000000052,-0.010500000000000053
XLE,XLE,1,2026-03-03,14:45:00,56.185001373291016,15:00:00,56.20500183105469,TIME,3,0.0003559750338135545,-0.0021440249661864455
XLE,XLE,1,2026-03-03,15:05:00,56.20500183105469,15:10:00,56.09000015258789,TIME,1,-0.0020461111061338944,-0.0045461111061338945
XLE,XLE,1,2026-03-04,11:30:00,55.779998779296875,15:00:00,56.05500030517578,TIME,42,0.0049301099300306,0.0024301099300305996
XLE,XLE,1,2026-03-10,13:20:00,55.474998474121094,15:00:00,55.70500183105469,TIME,20,0.0041460723435781536,0.0016460723435781535
XLE,XLE,1,2026-04-01,13:15:00,58.560001373291016,15:00:00,58.915000915527344,TIME,21,0.006062150510779223,0.003562150510779223
XLE,XLE,1,2026-04-07,11:45:00,60.3650016784668,12:45:00,59.88208166503906,SL,12,-0.008000000000000047,-0.010500000000000047
XLE,XLE,1,2026-04-09,11:50:00,57.904998779296875,12:25:00,57.4417587890625,SL,7,-0.008000000000000049,-0.01050000000000005
XLE,XLE,1,2026-04-24,11:35:00,56.40999984741211,15:00:00,56.685001373291016,TIME,41,0.004875049222173014,0.0023750492221730137
XLE,XLE,1,2026-05-13,11:25:00,57.04999923706055,15:00:00,57.494998931884766,TIME,43,0.007800170039882142,0.005300170039882143
XLY,XLY,1,2026-05-04,11:25:00,118.20999908447266,12:05:00,117.26431909179688,SL,8,-0.007999999999999974,-0.010499999999999975
XLY,XLY,1,2026-05-04,12:10:00,117.45999908447266,15:00:00,117.65499877929688,TIME,34,0.0016601370368135502,-0.0008398629631864499
XLI,XLI,1,2026-02-20,11:30:00,176.5800018310547,15:00:00,177.14500427246094,TIME,42,0.003199696656175277,0.000699696656175277
XLI,XLI,1,2026-03-19,11:45:00,162.39999389648438,15:00:00,163.55499267578125,TIME,39,0.007112061716166593,0.004612061716166594
XLI,XLI,1,2026-04-21,11:30:00,171.7100067138672,15:00:00,171.94000244140625,TIME,42,0.001339442772967338,-0.001160557227032662
