====================================================================================================
INTRADAY PARAMETER SWEEP -- 60d, sorted by net expectancy
====================================================================================================
 min_bars  tp_pct  sl_pct  time_stop_bars  n_trades  winrate  payoff  ev_gross   ev_net  sharpe     mdd  tp_hits  sl_hits  eod_exits  time_exits  flip_exits
       22   0.002   0.005               6       497   0.2153   0.462   0.00009 -0.00241 -12.098 -0.7100      120       58         35         278           6
       22   0.005   0.008               6       457   0.2232   0.591   0.00009 -0.00241 -11.244 -0.6822       65       24         35         315          18
       22   0.005   0.003               6       549   0.1967   0.637   0.00008 -0.00242 -12.848 -0.7448       75      135         35         288          16
       22   0.005   0.008               0       343   0.3090   0.490   0.00008 -0.00242 -12.297 -0.5758       68       32        221           0          22
       22   0.003   0.008               6       466   0.2597   0.392   0.00007 -0.00243 -11.645 -0.6905      108       23         35         292           8
       22   0.002   0.012               6       445   0.2180   0.433   0.00007 -0.00243 -11.771 -0.6734      110        2         35         292           6
       22   0.005   0.003               0       459   0.2680   0.537   0.00007 -0.00243 -13.815 -0.6800       80      176        183           0          20
       22   0.003   0.003               6       561   0.2317   0.410   0.00006 -0.00244 -13.301 -0.7539      121      134         35         265           6
       22   0.002   0.008               6       466   0.2232   0.443   0.00004 -0.00246 -11.848 -0.6952      116       23         35         286           6
       22   0.002   0.003               6       562   0.2011   0.456   0.00004 -0.00246 -13.515 -0.7577      131      134         35         258           4

saved: data/intraday_sweep_reverse.csv
