ticker,action_ticker,direction,entry_date,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_bars,gross_pnl,net_pnl
SPY,SPY,1,2026-03-05,13:00:00,676.4500122070312,15:30:00,681.4400024414062,EOD,6,0.00737673167909972,0.00487673167909972
SPY,SH,-1,2026-03-09,15:30:00,677.3699951171875,15:30:00,678.3159790039062,EOD,1,-0.0013965541632163546,-0.0038965541632163545
SPY,SPY,1,2026-03-16,15:30:00,669.27001953125,15:30:00,668.9600219726562,EOD,1,-0.00046318757683314304,-0.0029631875768331433
SPY,SPY,1,2026-03-17,14:30:00,670.9000244140625,15:30:00,670.72998046875,EOD,3,-0.0002534564601648504,-0.0027534564601648503
SPY,SPY,1,2026-03-18,15:00:00,663.4000244140625,15:30:00,661.5700073242188,EOD,2,-0.0027585423914629537,-0.005258542391462954
SPY,SPY,1,2026-03-20,14:30:00,649.4299926757812,15:30:00,645.1428815616254,SL,2,-0.006601344505959969,-0.00910134450595997
SPY,SPY,1,2026-03-26,15:30:00,646.2100219726562,15:30:00,645.10498046875,EOD,1,-0.0017100346115539024,-0.004210034611553903
SPY,SPY,1,2026-03-27,15:30:00,634.8599853515625,15:30:00,634.0800170898438,EOD,1,-0.0012285673687353785,-0.0037285673687353785
SPY,SH,-1,2026-03-31,13:00:00,646.6599731445312,15:30:00,650.239990234375,EOD,6,-0.005536166205610504,-0.008036166205610503
SPY,SPY,1,2026-04-06,14:00:00,656.5,15:30:00,658.8699951171875,EOD,4,0.0036100458753808074,0.0011100458753808074
SPY,SH,-1,2026-04-13,13:00:00,682.3200073242188,15:30:00,685.0492873535156,SL,5,-0.004000000000000018,-0.006500000000000018
SPY,SPY,1,2026-04-21,13:30:00,704.6799926757812,15:30:00,704.1400146484375,EOD,5,-0.000766274100238561,-0.003266274100238561
SPY,SPY,1,2026-04-23,13:30:00,706.0405883789062,15:30:00,708.4400024414062,EOD,5,0.0033984081113652945,0.0008984081113652944
SPY,SH,-1,2026-04-24,15:30:00,713.75,15:30:00,713.97998046875,EOD,1,-0.0003222143169877408,-0.0028222143169877407
SPY,SPY,1,2026-05-11,15:30:00,738.4849853515625,15:30:00,739.2000122070312,EOD,1,0.0009682347910274099,-0.0015317652089725901
QQQ,QQQ,1,2026-02-23,14:30:00,600.1599731445312,15:30:00,601.4199829101562,EOD,3,0.0020994565149408304,-0.00040054348505916965
QQQ,QQQ,1,2026-02-26,13:00:00,605.719970703125,15:30:00,609.260009765625,EOD,6,0.005844349259924007,0.003344349259924007
QQQ,QQQ,1,2026-03-11,14:00:00,606.9299926757812,15:30:00,607.72998046875,EOD,4,0.001318089075548618,-0.001181910924451382
