ticker,action_ticker,direction,entry_date,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_bars,gross_pnl,net_pnl
SPY,SPY,1,2026-03-06,15:30:00,672.22998046875,15:45:00,672.4749755859375,EOD,2,0.0003644513400260182,-0.002135548659973982
SPY,SH,-1,2026-03-09,15:30:00,677.3699951171875,15:45:00,678.3159790039062,EOD,2,-0.0013965541632163546,-0.0038965541632163545
SPY,SPY,1,2026-03-10,15:30:00,677.4199829101562,15:45:00,677.0499877929688,EOD,2,-0.0005461827618341325,-0.003046182761834133
SPY,SPY,1,2026-03-18,15:00:00,663.4000244140625,15:45:00,661.5700073242188,EOD,4,-0.0027585423914629537,-0.005258542391462954
SPY,SPY,1,2026-03-20,15:15:00,647.7572021484375,15:30:00,645.1661733398438,SL,1,-0.0039999999999999316,-0.006499999999999931
SPY,SPY,1,2026-03-20,15:45:00,646.9199829101562,15:45:00,648.510009765625,EOD,1,0.0024578416148409066,-4.215838515909346e-05
SPY,SPY,1,2026-03-27,13:15:00,638.4099731445312,14:00:00,635.2837903761325,SL,3,-0.004896826334025628,-0.007396826334025629
SPY,SPY,1,2026-03-30,15:15:00,629.9481201171875,15:45:00,632.0,EOD,3,0.003257220423851403,0.000757220423851403
SPY,SH,-1,2026-03-31,15:45:00,650.1699829101562,15:45:00,650.239990234375,EOD,1,-0.00010767541728917984,-0.00260767541728918
SPY,SPY,1,2026-04-01,14:30:00,654.2249755859375,15:45:00,655.1799926757812,EOD,6,0.0014597686200964995,-0.0010402313799035006
SPY,SPY,1,2026-04-08,15:30:00,673.5399780273438,15:45:00,675.8800048828125,EOD,2,0.0034742211773712292,0.0009742211773712292
SPY,SH,-1,2026-04-09,15:45:00,680.3800048828125,15:45:00,679.8699951171875,EOD,1,0.0007495954642477232,-0.0017504045357522769
SPY,SH,-1,2026-04-14,14:00:00,693.719970703125,15:45:00,694.39501953125,EOD,8,-0.0009730854763209415,-0.0034730854763209418
SPY,SPY,1,2026-04-21,15:45:00,703.2000122070312,15:45:00,704.1400146484375,EOD,1,0.0013367497512635153,-0.0011632502487364848
SPY,SPY,1,2026-04-23,13:15:00,707.75,13:30:00,704.919,SL,1,-0.004000000000000024,-0.006500000000000025
SPY,SPY,1,2026-04-23,13:45:00,703.760009765625,15:45:00,708.4400024414062,EOD,9,0.006649983816698877,0.004149983816698876
SPY,SH,-1,2026-05-06,15:30:00,733.8499755859375,15:45:00,733.77001953125,EOD,2,0.00010895422408873098,-0.002391045775911269
SPY,SPY,1,2026-05-07,13:30:00,730.6300048828125,15:45:00,731.5599975585938,EOD,10,0.0012728640619275057,-0.0012271359380724943
QQQ,QQQ,1,2026-02-26,12:45:00,605.9400024414062,15:45:00,609.260009765625,EOD,13,0.005479102404267807,0.002979102404267807
QQQ,QQQ,1,2026-03-06,15:30:00,599.530029296875,15:45:00,599.8099975585938,EOD,2,0.000466979547374958,-0.002033020452625042
QQQ,PSQ,-1,2026-03-09,15:30:00,606.739990234375,15:45:00,607.7550048828125,EOD,2,-0.001672898877236383,-0.004172898877236383
QQQ,QQQ,1,2026-03-20,15:45:00,580.47998046875,15:45:00,582.0700073242188,EOD,1,0.0027391588150633022,0.00023915881506330217
QQQ,QQQ,1,2026-03-30,15:15:00,556.094970703125,15:45:00,558.2703247070312,EOD,3,0.003911839017633514,0.0014118390176335138
QQQ,QQQ,1,2026-04-08,15:00:00,602.72998046875,15:45:00,605.9199829101562,EOD,4,0.00529258962516739,0.0027925896251673903
QQQ,QQQ,1,2026-04-23,13:15:00,651.8699951171875,13:30:00,649.2625151367188,SL,1,-0.003999999999999961,-0.006499999999999961
QQQ,PSQ,-1,2026-04-24,15:15:00,664.0900268554688,15:45:00,663.9099731445312,EOD,3,0.0002711284670093179,-0.0022288715329906823
QQQ,PSQ,-1,2026-04-28,15:15:00,658.52001953125,15:45:00,657.5700073242188,EOD,3,0.0014426474197511733,-0.0010573525802488268
QQQ,PSQ,-1,2026-05-05,14:00:00,682.1300048828125,15:45:00,681.510009765625,EOD,8,0.0009089104903016441,-0.001591089509698356
QQQ,PSQ,-1,2026-05-15,14:00:00,714.22998046875,15:45:00,708.8800048828125,EOD,8,0.007490550288054703,0.004990550288054703
DIA,DOG,-1,2026-03-03,14:45:00,487.0400085449219,15:45:00,485.489990234375,EOD,5,0.0031825276842814237,0.0006825276842814237
DIA,DOG,-1,2026-03-06,13:15:00,475.67999267578125,15:45:00,475.239990234375,EOD,11,0.000924996737683166,-0.001575003262316834
DIA,DOG,-1,2026-03-09,15:30:00,477.54998779296875,15:45:00,477.9100036621094,EOD,2,-0.0007538810142252624,-0.0032538810142252626
DIA,DIA,1,2026-03-10,15:30:00,478.0,15:45:00,477.7200012207031,EOD,2,-0.0005857715048051778,-0.003085771504805178
DIA,DIA,1,2026-03-18,14:45:00,465.1400146484375,15:30:00,463.27945458984374,SL,3,-0.004000000000000026,-0.006500000000000027
DIA,DIA,1,2026-03-18,15:45:00,463.0400085449219,15:45:00,463.05999755859375,EOD,1,4.3169085398666504e-05,-0.0024568309146013336
DIA,DOG,-1,2026-03-19,15:15:00,462.8399963378906,15:45:00,461.07000732421875,EOD,3,0.0038241920051777815,0.0013241920051777815
DIA,DIA,1,2026-03-30,15:45:00,451.44000244140625,15:45:00,452.0299987792969,EOD,1,0.0013069208193777697,-0.0011930791806222304
DIA,DIA,1,2026-04-07,15:00:00,463.1449890136719,15:45:00,465.8999938964844,EOD,4,0.005948471748943338,0.003448471748943338
DIA,DOG,-1,2026-04-09,13:45:00,482.95001220703125,15:45:00,481.8599853515625,EOD,9,0.0022570179685625037,-0.00024298203143749636
DIA,DIA,1,2026-04-10,13:15:00,479.010009765625,15:45:00,479.2200012207031,EOD,11,0.00043838636103005825,-0.002061613638969942
DIA,DOG,-1,2026-04-14,15:45:00,485.75,15:45:00,485.5400085449219,EOD,1,0.00043230356166366446,-0.0020676964383363355
DIA,DOG,-1,2026-04-15,15:30:00,485.010009765625,15:45:00,484.6099853515625,EOD,2,0.0008247755840251767,-0.0016752244159748235
DIA,DIA,1,2026-04-21,13:15:00,492.19000244140625,15:45:00,491.4100036621094,EOD,11,-0.0015847513672115506,-0.00408475136721155
DIA,DIA,1,2026-04-23,13:15:00,491.7200012207031,13:30:00,489.75312121582033,SL,1,-0.003999999999999967,-0.006499999999999968
DIA,DIA,1,2026-04-23,13:45:00,489.2799987792969,15:45:00,492.989990234375,EOD,9,0.007582552862030271,0.005082552862030271
DIA,DOG,-1,2026-04-27,15:45:00,492.05999755859375,15:45:00,491.80999755859375,EOD,1,0.0005080681242945997,-0.0019919318757054003
DIA,DOG,-1,2026-05-06,15:30:00,499.7799987792969,15:45:00,498.9800109863281,EOD,2,0.0016006798889965685,-0.0008993201110034316
DIA,DOG,-1,2026-05-13,14:30:00,497.05499267578125,15:45:00,497.1099853515625,EOD,6,-0.0001106370051434542,-0.002610637005143454
XLK,XLK,1,2026-03-06,15:30:00,137.13499450683594,15:45:00,137.25999450683594,EOD,2,0.0009115105918042603,-0.0015884894081957398
