ticker,action_ticker,direction,entry_date,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_bars,gross_pnl,net_pnl
SPY,SH,-1,2026-03-06,15:25:00,672.9400024414062,15:55:00,672.4749755859375,EOD,7,0.000691037616699329,-0.001808962383300671
SPY,SPY,1,2026-03-31,12:45:00,647.0900268554688,15:40:00,650.4600219726562,ZEXIT,35,0.005207923128662602,0.002707923128662602
SPY,SPY,1,2026-04-02,15:55:00,655.461181640625,15:55:00,655.8800048828125,EOD,1,0.0006389748987715517,-0.0018610251012284485
SPY,SH,-1,2026-04-08,14:55:00,673.9000244140625,15:55:00,675.8800048828125,EOD,13,-0.002938092294137455,-0.005438092294137455
SPY,SH,-1,2026-04-27,14:55:00,714.8800048828125,15:20:00,715.1300048828125,ZEXIT,5,-0.00034970903968839013,-0.0028497090396883903
QQQ,QQQ,1,2026-03-06,15:25:00,600.4099731445312,15:55:00,599.8099975585938,EOD,7,-0.0009992765156701907,-0.0034992765156701905
QQQ,PSQ,-1,2026-03-31,12:45:00,573.8300170898438,15:40:00,577.1300048828125,ZEXIT,35,-0.00575081068380582,-0.00825081068380582
QQQ,PSQ,-1,2026-04-02,15:55:00,584.530029296875,15:55:00,584.9600219726562,EOD,1,-0.0007356211900669733,-0.0032356211900669736
QQQ,QQQ,1,2026-04-08,14:55:00,603.760009765625,15:55:00,605.9199829101562,EOD,13,0.003577535957324724,0.001077535957324724
QQQ,QQQ,1,2026-04-27,14:55:00,662.9901123046875,15:20:00,663.739990234375,ZEXIT,5,0.0011310544693958903,-0.0013689455306041098
DIA,DOG,-1,2026-03-06,15:20:00,475.45001220703125,15:55:00,475.239990234375,EOD,8,0.00044173302611000346,-0.0020582669738899964
XLK,XLK,1,2026-03-06,15:25:00,137.5,15:55:00,137.25999450683594,EOD,7,-0.0017454944957386363,-0.004245494495738637
XLK,XLK,1,2026-04-15,12:55:00,148.1320037841797,14:10:00,149.1300048828125,ZEXIT,15,0.006737241603015417,0.004237241603015416
XLE,XLE,1,2026-03-02,12:25:00,56.404998779296875,13:30:00,56.849998474121094,ZEXIT,13,0.007889366269919205,0.005389366269919205
XLE,XLE,1,2026-03-09,15:35:00,56.355499267578125,15:55:00,56.32590103149414,EOD,5,-0.0005252058178643895,-0.0030252058178643895
XLE,XLE,1,2026-03-10,13:20:00,55.474998474121094,14:20:00,55.88999938964844,ZEXIT,12,0.007480863937669873,0.004980863937669873
XLE,XLE,1,2026-03-19,15:15:00,59.310001373291016,15:55:00,59.380001068115234,EOD,9,0.001180234247233412,-0.001319765752766588
XLE,XLE,1,2026-03-24,14:40:00,60.849998474121094,15:55:00,60.82500076293945,EOD,16,-0.00041080873966285974,-0.0029108087396628596
XLE,XLE,1,2026-03-31,12:45:00,61.875,13:05:00,61.1325,SL,4,-0.011999999999999995,-0.014499999999999996
XLE,XLE,1,2026-03-31,13:10:00,60.939998626708984,13:15:00,60.208718643188476,SL,1,-0.012000000000000009,-0.01450000000000001
XLE,XLE,1,2026-03-31,13:20:00,60.255001068115234,15:55:00,61.2400016784668,EOD,32,0.01634720094416842,0.01384720094416842
XLE,XLE,1,2026-04-20,15:35:00,55.0,15:55:00,55.08000183105469,EOD,5,0.0014545787464488636,-0.0010454212535511364
XLE,XLE,1,2026-05-08,15:55:00,55.59000015258789,15:55:00,55.689998626708984,EOD,1,0.0017988572377515726,-0.0007011427622484274
XLV,XLV,1,2026-03-16,15:10:00,150.7949981689453,15:25:00,150.75,ZEXIT,3,-0.0002984062435207444,-0.0027984062435207446
XLV,XLV,1,2026-03-31,12:45:00,145.91000366210938,15:55:00,146.5800018310547,EOD,39,0.004591859037279299,0.0020918590372792987
XLY,XLY,1,2026-03-18,15:20:00,110.95999908447266,15:55:00,110.56999969482422,EOD,8,-0.003514774629292626,-0.0060147746292926255
XLY,XLY,1,2026-03-23,15:55:00,110.2300033569336,15:55:00,110.12000274658203,EOD,1,-0.0009979189603702696,-0.0034979189603702695
XLY,XLY,1,2026-05-01,15:50:00,118.68000030517578,15:55:00,118.61000061035156,EOD,2,-0.000589818795451806,-0.0030898187954518062
