feature,importance_gain
term_spread,8385.77949476242
is_inverse,8383.824503421783
hy_ig_logratio,6750.4953689575195
gold_chg_21d,5688.494836330414
dxy_z,4735.097223172197
oil_z,4482.194427490234
oil_chg_5d,4450.681772947311
category_code,3947.1132259368896
vix_log,3840.739319086075
vvix_z,3794.959004044533
tlt_z,3521.934758424759
hy_ig_z,3470.563574552536
y10_chg_5d,3465.616302013397
mom_63d,3258.8605024814606
y10_z,2864.757018327713
mom_5d,2566.235343694687
rsi_14,2343.904706656933
mom_21d,1884.6871869564056
mom_10d,1866.6175124645233
trend_strength,1490.8512070178986
mom_1d,1445.120878458023
vol_ratio,1370.2045818567276
vol_21d,1355.7375645637512
zscore_20,1310.4787871837616
vix_chg_1d,1290.384526014328
vol_5d,1149.6334133148193
mom_21d_rank,660.152143239975
zscore_20_rank,600.798849105835
rsi_14_rank,502.3053140640259
mom_63d_rank,498.1405403614044
vol_5d_rank,271.954758644104
