feature,importance_gain
vix_prior,49596.94844579697
ticker_code,9519.674279212952
minutes_from_open,9198.097623944283
rsi14,8525.229615688324
ema_spread_pct,6976.613001465797
atr_pct,5636.11544239521
price_vs_vwap_pct,5550.655395686626
adx14,4686.0555139780045
vwap_dev_sd,3586.707010805607
stochrsi_k,2709.655182123184
vol_ratio,1015.4287981390953
obv_slope,1005.3665297031403
