date,"v2 equal (9 ETF, all signals)",v2 top-3 (9 ETF),v2 top-5 (9 ETF),v2 top-7 (9 ETF),"v3 equal (17 ETF, all signals)",v3 top-3 (17 ETF),v3 top-5 (17 ETF),v3 top-7 (17 ETF)
2017-11-17,0.009053186530723597,0.009145414818118232,0.004162297897506835,0.004162297897506835,,,,
2017-11-24,0.016835931387220462,0.023786061009103764,0.023119394342437094,0.023119394342437094,,,,
2017-12-01,0.0010722525831368141,-0.0007652758590844045,-0.0018132394165352155,0.0014293954402796712,,,,
2017-12-08,0.005452708120501488,0.009184898277960965,0.007626905825396057,0.00754102182429464,,,,
2017-12-15,-0.0030809456497012467,-0.00266427898303458,-0.001831604932402441,-0.0016649382657357745,,,,
2017-12-22,0.009566389340356892,0.011185237716011284,0.006226198787841931,0.006194569360871706,,,,
2017-12-29,-0.008630959824484698,-0.008422626491151365,-0.008755959824484698,-0.00889881696734184,,,,
2018-01-05,-0.001543253046056384,0.004179420667725235,0.010679531212173217,0.010679531212173217,,,,
2018-01-12,0.013615756840163923,0.018782007091878404,0.013485434326802952,0.013972899697306779,,,,
2018-01-19,0.005588284979375403,0.004465105494320574,0.01063234068388198,0.009165140407550598,,,,
2018-01-26,-0.014688354377994293,-0.014063354377994292,-0.020291116349607174,-0.020862544921035744,,,,
2018-02-02,-0.05919964160372873,-0.06240192003166785,-0.059014156061346815,-0.058399247541435786,,,,
2018-02-09,0.04336179666137222,0.04744986408740627,0.04592626128344345,0.04774753645381094,,,,
2018-02-16,0.017038330892510944,0.01787166422584428,0.01576492407465964,0.018711964034268447,,,,
2018-02-23,-0.00125,-0.00125,-0.00125,-0.0012499999999999998,,,,
2018-03-02,0.03221267433041894,0.033673048549696855,0.033673048549696855,0.033673048549696855,,,,
2018-03-09,-0.00125,-0.00125,-0.00125,-0.00125,,,,
2018-03-16,-0.06572630662327872,-0.06615477274322515,-0.06200131517378841,-0.06572630662327872,,,,
2018-03-23,-0.0033363056047732756,-0.005604405640184032,-0.005118979021626158,-0.004429806550834524,,,,
