date,v3 equal-weight (baseline),v3 proba-weighted,v3 inverse-vol,v3 top-3,v3 top-5,v3 top-7
2020-12-18,0.004767492572846474,0.006042029726987289,0.004207139748701239,0.0071940956421036135,0.009164703757854406,0.0036935567890522764
2021-01-08,-0.015395606194835315,-0.017456882901284394,-0.014739721487629732,-0.018283366930734637,-0.015006717305946427,-0.014275686778628671
2021-01-15,0.011393118635939826,0.01352795797942037,0.011220942860573258,0.025900942116105292,0.013743445060275795,0.008597409284986328
2021-01-22,-0.03291466021836419,-0.02990074154035783,-0.030216398307161316,-0.02793192037977852,-0.031125313898724485,-0.033825853784283745
2021-01-29,0.0394585628735723,0.03799763543248704,0.038324664375588215,0.037488127381780555,0.0397085628735723,0.03671399606131842
2021-02-05,0.005098697578735726,0.007228940487503822,0.005109534438880054,0.011437153249964305,0.01148238021374546,0.008125581242564192
2021-02-12,-0.017461424968716627,-0.015314055288424337,-0.01705422057672983,-0.008281035088022635,-0.020791552382563073,-0.01531287625608266
2021-02-19,-0.02573575402683045,-0.025293975723480095,-0.025314726846418483,-0.020131795147824757,-0.0275631216469761,-0.027553716972927144
2021-02-26,-0.0036204590462218236,0.0023847004906427586,0.001027378933043398,0.014156671370217384,0.006737248921401141,0.004133436043130934
2021-03-05,0.03176765215030243,0.03192646052227754,0.031022235961725916,0.03618295544262001,0.030443318477095742,0.03183879240193533
2021-03-12,-0.0027592250022219055,-0.0020391159728798047,-0.001949568684530169,0.002349804413931826,-0.003021892519479607,-0.0021425015400424654
2021-03-19,0.012122604391314379,0.008387047048383629,0.01693322170590635,-0.007576969689376303,0.004281118132399464,0.00980459162391698
2021-03-26,0.02960807198436242,0.03459861981562998,0.025548540854605433,0.04277678019233507,0.03497202877507932,0.029518786270076706
2021-04-09,0.01839608751927252,0.02000537003453762,0.01777346696191883,0.023307002416963225,0.023292883698386925,0.02048581048315592
2021-04-16,-4.352716676597366e-05,0.00033854554583532897,-0.0017718328760039208,0.0006856394999006931,0.0006773935145529832,0.0007488220859815547
2021-04-23,-0.00499686894998972,-0.004780225495031768,-0.00404143181095131,-0.0032489253264624254,-0.006733419642253279,-0.00376253675658254
2021-04-30,0.008212210341090972,0.007511379167138205,0.010228611298063545,0.001182102356866906,0.002772781101064216,0.008833807501248712
2021-05-07,-0.010492253904241805,-0.012847413814834563,-0.010148214408318548,-0.024866744532150483,-0.014549293344351564,-0.01249902651263989
2021-05-14,-0.009574971194213673,-0.008552347978319842,-0.007935339078398704,-0.00791868285208143,-0.009844201963444443,-0.008938782603101228
2021-05-21,0.00458152732496961,0.003761001379908817,0.003476872332316329,0.00234506511941531,0.0060472909415898,0.0046656159781525795
2021-05-28,0.005060515265387193,0.005568774862766756,0.003878829152705058,0.0014121354428753667,0.000782364170767248,0.007241250167948632
2021-06-04,0.005083160595715696,0.0024843634053526554,0.004436345094783364,0.002620549567757369,-0.004780541228027424,-0.005135117762442804
2021-06-11,-0.026833187628739603,-0.02603257857016757,-0.026253982041368275,-0.016228438139577084,-0.02572618028242272,-0.023637616340493574
2021-06-18,0.02967291418525332,0.02718709132813242,0.028282595625240037,0.017556943820484765,0.02126222729311833,0.0210217937909863
2021-06-25,0.011642301216068152,0.011594465652134352,0.013449746148075821,0.011509002382307065,0.01221257187890016,0.009274572955486036
2021-07-02,0.0014468210895206312,0.0037650559735827645,0.004566167816810946,0.006170267574299078,0.005409921690467879,0.005425182915201444
2021-07-09,-0.008770997969180535,-0.01037049740085682,-0.009457392369255975,-0.019662559085022197,-0.01674005953885427,-0.01087586866244315
2021-07-16,0.019736059387182207,0.019736059387182207,0.019736059387182207,0.01596015399369616,0.010127918580579922,0.014035021730757026
2021-07-23,-0.003981904314629792,-0.0026762856070143767,-0.003597836528197083,0.0026978106421594048,-0.0014749668768926352,-0.002553332886058364
