,net,gross,n_active,equity
2017-11-17,0.009053186530723597,0.010303186530723596,4.0,1.0090531865307235
2017-11-24,0.014960931387220464,0.018710931387220464,1.0,1.024149562020466
2017-12-01,0.0021436811545653854,0.003215109725993957,7.0,1.0263450121360256
2017-12-08,0.0053187795490729165,0.006881279549072916,4.0,1.0318039149968679
2017-12-15,-0.003080945649701247,-0.001830945649701247,3.0,1.0286249832136134
2017-12-22,0.00987888934035689,0.010816389340356891,4.0,1.0387866555955072
2017-12-29,-0.008839293157818033,-0.006755959824484699,3.0,1.0296045158182692
2018-01-05,-0.0013349197127230507,-0.0007099197127230505,2.0,1.0282300764537946
2018-01-12,0.014508613983021062,0.01575861398302106,7.0,1.043148269718795
2018-01-19,0.005454356407946831,0.007016856407946831,4.0,1.0488379721681744
2018-01-26,-0.01448002104466096,-0.014063354377994294,3.0,1.0336507762587397
2018-02-02,-0.058574641603728744,-0.057532974937062074,6.0,0.973105052495968
2018-02-09,0.043778463328038884,0.044195129994705554,9.0,1.015706096350992
2018-02-16,0.016204997559177613,0.01870499755917761,3.0,1.0321656111632016
2018-02-23,0.0,0.0,0.0,1.0321656111632016
2018-03-02,0.03221267433041894,0.03346267433041894,1.0,1.0654144258506597
2018-03-09,0.0,0.0,0.0,1.0654144258506597
2018-03-16,-0.06572630662327872,-0.06447630662327872,7.0,0.9953886706163348
2018-03-23,-0.003187496080963752,-0.0029791627476304186,6.0,0.9922158731297095
2018-04-06,0.024385154558168406,0.024801821224835072,9.0,1.0164112105510454
2018-04-13,0.00793108728810974,0.00893108728810974,5.0,1.0244724565825392
2018-04-20,0.0020941755881612777,0.007094175588161278,1.0,1.026617881791858
2018-04-27,-0.0014346859296266025,-0.0008096859296266024,2.0,1.0251450075617483
2018-05-04,0.02107274100569315,0.02482274100569315,1.0,1.0467476227993764
2018-05-11,-0.007754879893890213,-0.006921546560556879,3.0,1.0386302207053522
2018-05-18,0.006005137242627597,0.006005137242627597,3.0,1.0448673377250284
2018-05-25,0.024486154921802675,0.026986154921802674,1.0,1.070452121229295
2018-06-01,0.01483636184782661,0.01593011184782661,8.0,1.0863337362406265
2018-06-08,0.002515342623553889,0.0033486759568872224,6.0,1.089066237790797
2018-06-15,-0.011392573832348304,-0.010767573832348304,4.0,1.0766589702684475
2018-06-22,-0.024683078422567197,-0.020933078422567197,1.0,1.050083712470951
2018-06-29,0.026378056509510087,0.02747180650951009,8.0,1.077782879978226
2018-07-06,0.018799472024707952,0.019216138691374618,6.0,1.098044629079086
2018-07-13,0.005740733167799034,0.005990733167799034,5.0,1.1043482103009639
2018-07-20,0.0019248598032774056,0.0037998598032774056,2.0,1.1064739257797935
2018-07-27,-0.0005820830247321526,0.0002512503086011808,6.0,1.1058298660902883
2018-08-03,-0.004052105094363273,-0.003802105094363273,5.0,1.1013489272564048
2018-08-10,0.008225773609382592,0.008225773609382592,5.0,1.1104083741969524
2018-08-17,0.005695434670738945,0.006528768004072279,3.0,1.1167326325500326
2018-08-24,0.0,0.0,0.0,1.1167326325500326
2018-08-31,-0.01269753614048431,-0.011447536140484311,7.0,1.1025528795889705
2018-09-07,0.013371719209802489,0.013728862066945346,7.0,1.1172959071087933
2018-09-14,0.00615508042329373,0.01053008042329373,2.0,1.1241729532736648
2018-09-21,0.0,0.0,0.0,1.1241729532736648
2018-09-28,0.0,0.0,0.0,1.1241729532736648
2018-10-05,-0.055163761853186305,-0.053913761853186304,1.0,1.0621593441974833
2018-10-12,-0.0065558122072097245,-0.005444701096098613,9.0,1.0551960270027916
2018-10-19,-0.04286801466562587,-0.04286801466562587,9.0,1.0099618682421259
2018-10-26,0.02530277757973219,0.02530277757973219,9.0,1.035516708758267
2018-11-02,0.02003690061211041,0.02019315061211041,8.0,1.0562652541338362
2018-11-09,-0.019358346182337942,-0.01810834618233794,5.0,1.0358177056839384
2018-11-16,-0.026374564494273393,-0.025593314494273392,8.0,1.008498464801067
