window,is_end,oos_start,oos_end,n_train,n_test,is_auc,oos_auc
1,2020-12-15,2020-12-16,2022-01-12,9072,4878,0.9348,0.5778
2,2022-01-12,2022-01-13,2023-02-10,13950,4878,0.9001,0.5853
3,2023-02-10,2023-02-13,2024-03-12,18828,4878,0.886,0.5847
4,2024-03-12,2024-03-13,2025-04-10,23706,4878,0.8726,0.4865
5,2025-04-10,2025-04-11,2026-05-15,28584,4896,0.8537,0.5461
